start_date,end_date,mltrace_logging_times,mltrace_metric_computation_times,prometheus_logging_times,prometheus_metric_computation_times,postgres_metric_computation_times,num_points
2020-03-01,2020-03-03,0.5727624893188477,0.010767936706542969,0.10846138000488281,0.0034062862396240234,0.01899099349975586,8664
2020-03-03,2020-03-05,0.552523136138916,0.058583736419677734,0.11829900741577148,0.18844246864318848,0.03302597999572754,8372
2020-03-05,2020-03-07,0.586707592010498,0.030504465103149414,0.13955116271972656,0.2656426429748535,0.09427380561828613,8424
2020-03-07,2020-03-09,0.7100787162780762,0.04016518592834473,0.07383203506469727,0.4142632484436035,0.12076377868652344,8606
2020-03-09,2020-03-11,0.6288418769836426,0.11539530754089355,0.06420230865478516,0.575847864151001,0.0849905014038086,8355
2020-03-11,2020-03-13,0.7560825347900391,0.1321275234222412,0.06300735473632812,0.7557919025421143,0.09541082382202148,8322
2020-03-13,2020-03-15,0.7132010459899902,0.07115554809570312,0.07071495056152344,1.0291600227355957,0.20268511772155762,8308
2020-03-15,2020-03-17,0.8743901252746582,0.08011198043823242,0.12979793548583984,1.2452077865600586,0.23787188529968262,8220
2020-03-17,2020-03-19,0.6870169639587402,0.09295868873596191,0.06662702560424805,1.5574722290039062,0.3631405830383301,8240
2020-03-19,2020-03-21,0.46169471740722656,0.10351347923278809,0.260498046875,1.7608437538146973,0.3986046314239502,7928
2020-03-21,2020-03-23,0.45070648193359375,0.2274622917175293,0.2747635841369629,1.9660801887512207,0.30036139488220215,7648
2020-03-23,2020-03-25,0.4395613670349121,0.2536277770996094,0.05803632736206055,2.215003490447998,0.36966705322265625,7559
2020-03-25,2020-03-27,0.5104084014892578,0.1352834701538086,0.10993623733520508,2.221642255783081,0.3662436008453369,7856
2020-03-27,2020-03-29,0.7591109275817871,0.14743471145629883,0.06791925430297852,2.638981342315674,0.41791868209838867,7859
2020-03-29,2020-03-31,0.4606204032897949,0.3071105480194092,0.3293633460998535,2.8966381549835205,0.42969512939453125,7785
2020-03-31,2020-04-02,0.5725994110107422,0.16893506050109863,0.06099367141723633,3.281741142272949,0.45334768295288086,7856
2020-04-02,2020-04-04,0.8063168525695801,0.18651342391967773,0.059624671936035156,3.6760611534118652,0.4894576072692871,7855
2020-04-04,2020-04-06,0.8297452926635742,0.37577080726623535,0.06222820281982422,3.7179346084594727,0.49312686920166016,7689
2020-04-06,2020-04-08,0.49634599685668945,0.2076551914215088,0.06018495559692383,3.9140665531158447,0.5310413837432861,7786
2020-04-08,2020-04-10,0.8099522590637207,0.4257044792175293,0.06034135818481445,4.0615458488464355,0.5446462631225586,7682
2020-04-10,2020-04-12,0.45444679260253906,0.2252669334411621,0.059125423431396484,4.452704191207886,0.5629985332489014,7674
2020-04-12,2020-04-14,0.8433518409729004,0.72019362449646,0.06380176544189453,5.426600933074951,0.9418838024139404,7700
2020-04-14,2020-04-16,0.5182175636291504,0.4657862186431885,0.06971502304077148,5.192530870437622,0.6348438262939453,7802
2020-04-16,2020-04-18,0.47831058502197266,0.2602965831756592,0.06378412246704102,5.388026237487793,0.710136890411377,7767
2020-04-18,2020-04-20,0.9545454978942871,0.7821469306945801,0.059599876403808594,6.06602144241333,1.3157610893249512,7737
2020-04-20,2020-04-22,0.49759531021118164,0.5722107887268066,0.0682668685913086,6.133786201477051,1.4136989116668701,7858
2020-04-22,2020-04-24,0.5210022926330566,0.2842864990234375,0.06688165664672852,6.932888507843018,0.7888810634613037,7888
2020-04-24,2020-04-26,0.4910268783569336,0.297562837600708,0.06451606750488281,7.8181304931640625,1.0307786464691162,7858
2020-04-26,2020-04-28,0.9615340232849121,0.5525939464569092,0.05971860885620117,7.758855819702148,0.7584638595581055,7744
2020-04-28,2020-04-30,0.4669795036315918,0.5744025707244873,0.0626230239868164,7.860163688659668,0.5241620540618896,7932
2020-04-30,2020-05-02,0.45913124084472656,0.9413902759552002,0.06266403198242188,8.802054643630981,0.8131871223449707,7841
2020-05-02,2020-05-04,0.4579782485961914,0.6274173259735107,0.062365055084228516,9.381156206130981,0.9814119338989258,7837
2020-05-04,2020-05-06,0.4933037757873535,0.9803664684295654,0.6337485313415527,8.952368021011353,0.8798544406890869,7920
2020-05-06,2020-05-08,0.4699983596801758,0.354217529296875,0.06207990646362305,9.760616064071655,0.9544403553009033,7975
2020-05-08,2020-05-10,0.49350595474243164,0.7006890773773193,0.6538605690002441,11.130847692489624,1.3044335842132568,7855
2020-05-10,2020-05-12,0.5041799545288086,0.415438175201416,0.07295989990234375,11.191395998001099,1.7063188552856445,7984
2020-05-12,2020-05-14,0.5098867416381836,0.41055774688720703,0.0669097900390625,10.766481399536133,1.4539401531219482,8069
2020-05-14,2020-05-16,0.5071301460266113,0.745830774307251,0.06789112091064453,11.218841791152954,1.0463714599609375,7973
2020-05-16,2020-05-18,0.5049829483032227,0.4139821529388428,0.06842231750488281,11.688564777374268,1.1807239055633545,8013
2020-05-18,2020-05-20,1.1765851974487305,1.1878130435943604,0.06236410140991211,13.414219856262207,1.942265510559082,7972
2020-05-20,2020-05-22,0.5411696434020996,1.1911811828613281,0.06756591796875,13.469661235809326,1.4753682613372803,8124
2020-05-22,2020-05-24,0.9190630912780762,1.254654884338379,0.1269073486328125,13.69783878326416,1.979457139968872,8035
2020-05-24,2020-05-26,1.247408390045166,1.2625000476837158,0.06850862503051758,13.491082668304443,2.089874744415283,8036
2020-05-26,2020-05-28,0.5338997840881348,0.47675442695617676,0.07869100570678711,15.376057863235474,1.7115967273712158,8192
