start_date,end_date,mltrace_logging_times,mltrace_metric_computation_times,prometheus_logging_times,prometheus_metric_computation_times,num_points
2020-03-01,2020-03-03,0.617612361907959,0.011333703994750977,0.10518074035644531,0.003968954086303711,8664
2020-03-03,2020-03-05,0.5928092002868652,0.06710195541381836,0.13894367218017578,0.14226174354553223,8372
2020-03-05,2020-03-07,0.5782585144042969,0.03099822998046875,0.1311783790588379,0.2680070400238037,8424
2020-03-07,2020-03-09,0.6129884719848633,0.09993863105773926,0.06531429290771484,0.45039916038513184,8606
2020-03-09,2020-03-11,0.7698712348937988,0.05083894729614258,0.07203817367553711,0.6288590431213379,8355
2020-03-11,2020-03-13,0.6631417274475098,0.14254283905029297,0.06299972534179688,0.8071086406707764,8322
2020-03-13,2020-03-15,0.6607460975646973,0.07028055191040039,0.06388235092163086,1.012282371520996,8308
2020-03-15,2020-03-17,0.6634712219238281,0.0797884464263916,0.07015514373779297,1.249300241470337,8220
2020-03-17,2020-03-19,0.7091484069824219,0.0901648998260498,0.06363821029663086,1.4645311832427979,8240
2020-03-19,2020-03-21,0.9915761947631836,0.11084794998168945,0.1310591697692871,2.0081827640533447,7928
2020-03-21,2020-03-23,0.6599230766296387,0.2174386978149414,0.05945396423339844,1.9661853313446045,7648
2020-03-23,2020-03-25,0.49793243408203125,0.2442467212677002,0.05959606170654297,2.1050126552581787,7559
2020-03-25,2020-03-27,0.46356773376464844,0.36267542839050293,0.06053972244262695,2.446518898010254,7856
2020-03-27,2020-03-29,0.7433309555053711,0.29123783111572266,0.06347846984863281,2.78157901763916,7859
2020-03-29,2020-03-31,0.4780282974243164,0.1640768051147461,0.06331729888916016,2.81654691696167,7785
2020-03-31,2020-04-02,0.752598762512207,0.16524147987365723,0.061037540435791016,3.1502976417541504,7856
2020-04-02,2020-04-04,0.761329174041748,0.3317911624908447,0.06096935272216797,3.566161632537842,7855
2020-04-04,2020-04-06,0.4854240417480469,0.34952473640441895,0.0596003532409668,3.7586684226989746,7689
2020-04-06,2020-04-08,0.4950847625732422,0.36441540718078613,0.3826146125793457,3.938762664794922,7786
2020-04-08,2020-04-10,0.5098943710327148,0.4009125232696533,0.06750249862670898,3.9336557388305664,7682
2020-04-10,2020-04-12,0.4869956970214844,0.22355103492736816,0.06990575790405273,4.9757936000823975,7674
2020-04-12,2020-04-14,0.8649678230285645,0.582263708114624,0.0673975944519043,5.371047019958496,7700
2020-04-14,2020-04-16,0.4746551513671875,0.5747997760772705,0.06146955490112305,5.324541330337524,7802
2020-04-16,2020-04-18,0.5002613067626953,0.24702072143554688,0.06586170196533203,5.461554527282715,7767
2020-04-18,2020-04-20,0.4812607765197754,0.5098156929016113,0.06257772445678711,6.229769945144653,7737
2020-04-20,2020-04-22,0.5033750534057617,0.4995884895324707,0.06510162353515625,6.070139646530151,7858
2020-04-22,2020-04-24,0.4997105598449707,0.3027522563934326,0.06740283966064453,6.555518388748169,7888
2020-04-24,2020-04-26,0.9302787780761719,0.7528645992279053,0.06152677536010742,7.390196323394775,7858
2020-04-26,2020-04-28,0.6376824378967285,0.7900674343109131,0.11243057250976562,7.671410799026489,7744
2020-04-28,2020-04-30,0.5188641548156738,0.7558028697967529,0.06856584548950195,8.301032543182373,7932
