start_date,end_date,mltrace_logging_times,mltrace_metric_computation_times,prometheus_logging_times,prometheus_metric_computation_times,postgres_metric_computation_times,num_points
2020-03-01,2020-03-03,0.5890493392944336,0.01078176498413086,0.12033271789550781,0.003488779067993164,0.01889634132385254,8664
2020-03-03,2020-03-05,0.544158935546875,0.020996570587158203,0.11974048614501953,0.12009000778198242,0.03328824043273926,8372
2020-03-05,2020-03-07,0.7292242050170898,0.07953739166259766,0.13561725616455078,0.26926279067993164,0.04887270927429199,8424
2020-03-07,2020-03-09,0.6197099685668945,0.09975695610046387,0.1549835205078125,0.4241204261779785,0.1211247444152832,8606
2020-03-09,2020-03-11,0.6175451278686523,0.05241870880126953,0.18433284759521484,0.7447240352630615,0.1524195671081543,8355
2020-03-11,2020-03-13,0.6316766738891602,0.06295943260192871,0.06474924087524414,0.798893928527832,0.17132163047790527,8322
2020-03-13,2020-03-15,0.6457529067993164,0.07245492935180664,0.06454277038574219,0.9299404621124268,0.19409394264221191,8308
2020-03-15,2020-03-17,0.6805357933044434,0.17357873916625977,0.06339025497436523,1.1503517627716064,0.22849440574645996,8220
2020-03-17,2020-03-19,0.48426246643066406,0.1997063159942627,0.24184370040893555,1.5279340744018555,0.17319798469543457,8240
2020-03-19,2020-03-21,0.6750402450561523,0.32287168502807617,0.062221527099609375,1.5746779441833496,0.2760028839111328,7928
2020-03-21,2020-03-23,0.4537487030029297,0.23279023170471191,0.06043100357055664,2.060297966003418,0.311065673828125,7648
2020-03-23,2020-03-25,0.4768795967102051,0.13023638725280762,0.06021404266357422,2.2649805545806885,0.3316233158111572,7559
2020-03-25,2020-03-27,0.8088631629943848,0.45424413681030273,0.06946229934692383,2.2592906951904297,0.7319855690002441,7856
2020-03-27,2020-03-29,0.5152630805969238,0.4674086570739746,0.12783575057983398,2.6953792572021484,0.5043461322784424,7859
2020-03-29,2020-03-31,0.4554438591003418,0.31684398651123047,0.3478527069091797,2.8964803218841553,0.4248952865600586,7785
2020-03-31,2020-04-02,0.4828023910522461,0.17267322540283203,0.0653696060180664,3.3654117584228516,0.44533538818359375,7856
2020-04-02,2020-04-04,0.7711901664733887,0.3379476070404053,0.061565399169921875,3.3281874656677246,0.30231142044067383,7855
2020-04-04,2020-04-06,0.4497504234313965,0.40212059020996094,0.0607457160949707,3.9693617820739746,0.5379903316497803,7689
2020-04-06,2020-04-08,0.49242591857910156,0.20824170112609863,0.06143379211425781,4.191220998764038,0.709364652633667,7786
2020-04-08,2020-04-10,0.869478702545166,0.6626181602478027,0.06416606903076172,4.610759735107422,0.5814182758331299,7682
2020-04-10,2020-04-12,0.4714498519897461,0.2306535243988037,0.0619964599609375,5.16585111618042,0.600407600402832,7674
2020-04-12,2020-04-14,0.87103271484375,0.431149959564209,0.07198572158813477,4.881250619888306,0.5944693088531494,7700
2020-04-14,2020-04-16,0.46130847930908203,0.45215606689453125,0.061513423919677734,5.228607654571533,1.219430685043335,7802
2020-04-16,2020-04-18,0.4856996536254883,0.7467472553253174,0.06541633605957031,5.370689153671265,0.631850004196167,7767
2020-04-18,2020-04-20,0.8784184455871582,0.49697422981262207,0.06766462326049805,5.642004489898682,0.6631762981414795,7737
2020-04-20,2020-04-22,0.45840930938720703,0.8474535942077637,0.06143522262573242,6.116855621337891,1.1246209144592285,7858
2020-04-22,2020-04-24,0.49338817596435547,0.5312657356262207,0.06657743453979492,6.172223329544067,1.3979694843292236,7888
2020-04-24,2020-04-26,0.49033546447753906,0.3133115768432617,0.06654119491577148,6.916423320770264,0.9992859363555908,7858
2020-04-26,2020-04-28,0.4813852310180664,0.5763347148895264,0.06447553634643555,7.278934478759766,0.8517861366271973,7744
2020-04-28,2020-04-30,0.5084347724914551,0.3211853504180908,0.0690164566040039,8.079946756362915,0.8164060115814209,7932
2020-04-30,2020-05-02,0.4550180435180664,0.784508466720581,0.06275224685668945,8.490304946899414,0.7963776588439941,7841
2020-05-02,2020-05-04,0.5659422874450684,0.34137892723083496,0.12293481826782227,9.045883893966675,0.8878350257873535,7837
2020-05-04,2020-05-06,0.4602022171020508,1.0167310237884521,0.5909924507141113,8.696411371231079,1.352935791015625,7920
2020-05-06,2020-05-08,1.1089601516723633,0.6590259075164795,0.0809011459350586,9.650189876556396,1.5670716762542725,7975
2020-05-08,2020-05-10,0.8842954635620117,1.0330150127410889,0.12586355209350586,10.34956431388855,1.375638484954834,7855
2020-05-10,2020-05-12,0.4953732490539551,1.076817274093628,0.06742286682128906,9.788454294204712,1.4881577491760254,7984
2020-05-12,2020-05-14,1.1103720664978027,0.3812065124511719,0.1088104248046875,11.8137948513031,1.3511600494384766,8069
2020-05-14,2020-05-16,0.4902815818786621,6.233986854553223,0.06754350662231445,11.802975416183472,0.9942078590393066,7973
2020-05-16,2020-05-18,0.4805731773376465,0.7570395469665527,0.0637812614440918,11.269932270050049,1.3874845504760742,8013
2020-05-18,2020-05-20,0.508610725402832,1.1508853435516357,0.06487560272216797,11.30881142616272,1.5959584712982178,7972
2020-05-20,2020-05-22,0.510251522064209,0.7686605453491211,0.06921243667602539,13.12577486038208,1.8972220420837402,8124
2020-05-22,2020-05-24,0.9180469512939453,1.2297871112823486,0.12859821319580078,13.851393699645996,2.0162699222564697,8035
2020-05-24,2020-05-26,0.5082297325134277,1.2785875797271729,0.06895685195922852,14.078479766845703,1.7375266551971436,8036
2020-05-26,2020-05-28,0.53204345703125,1.168823480606079,0.07734060287475586,15.989927530288696,1.5718929767608643,8192
