start_date,end_date,mltrace_logging_times,mltrace_metric_computation_times,prometheus_logging_times,prometheus_metric_computation_times,num_points
2020-03-01,2020-03-03,0.5684995651245117,0.011394262313842773,0.1045694351196289,0.0033953189849853516,8664
2020-03-03,2020-03-05,0.6520023345947266,0.0646200180053711,0.13301849365234375,0.12391877174377441,8372
2020-03-05,2020-03-07,0.7536954879760742,0.030591726303100586,0.11941003799438477,0.26436471939086914,8424
2020-03-07,2020-03-09,0.9728002548217773,0.10587358474731445,0.07047748565673828,0.47836756706237793,8606
2020-03-09,2020-03-11,0.6014337539672852,0.05065011978149414,0.17405986785888672,0.63169264793396,8355
2020-03-11,2020-03-13,0.6235933303833008,0.14362835884094238,0.0635671615600586,0.8930661678314209,8322
2020-03-13,2020-03-15,0.634223461151123,0.06992053985595703,0.2063140869140625,0.9684369564056396,8308
2020-03-15,2020-03-17,0.7560062408447266,0.08671092987060547,0.07631301879882812,1.4043467044830322,8220
2020-03-17,2020-03-19,0.6636214256286621,0.08952069282531738,0.06347799301147461,1.3803808689117432,8240
2020-03-19,2020-03-21,0.6512365341186523,0.326030969619751,0.060977935791015625,1.7751927375793457,7928
2020-03-21,2020-03-23,0.6985816955566406,0.11007308959960938,0.06002378463745117,2.0028090476989746,7648
2020-03-23,2020-03-25,0.6748580932617188,0.1378328800201416,0.0587306022644043,2.1396050453186035,7559
2020-03-25,2020-03-27,0.46570920944213867,0.26715779304504395,0.30084991455078125,2.3306386470794678,7856
2020-03-27,2020-03-29,0.4783058166503906,0.1578199863433838,0.06336212158203125,2.789595365524292,7859
2020-03-29,2020-03-31,0.7586770057678223,0.16029906272888184,0.0630950927734375,2.935220241546631,7785
2020-03-31,2020-04-02,0.7444543838500977,0.313434362411499,0.06139993667602539,3.0017504692077637,7856
2020-04-02,2020-04-04,0.4566464424133301,0.18574833869934082,0.06084156036376953,3.9169015884399414,7855
2020-04-04,2020-04-06,0.8076262474060059,0.40450501441955566,0.0605158805847168,4.54528284072876,7689
2020-04-06,2020-04-08,0.8858795166015625,0.19977045059204102,0.12271404266357422,4.407702445983887,7786
2020-04-08,2020-04-10,0.4842524528503418,0.3892660140991211,0.06573486328125,4.269291162490845,7682
2020-04-10,2020-04-12,0.5181922912597656,0.24558687210083008,0.06968307495117188,4.8391454219818115,7674
2020-04-12,2020-04-14,0.9098911285400391,0.45322704315185547,0.07663154602050781,5.184031963348389,7700
2020-04-14,2020-04-16,0.46028947830200195,0.7167248725891113,0.060924530029296875,5.16803503036499,7802
2020-04-16,2020-04-18,0.5136747360229492,0.4578671455383301,0.06598997116088867,5.638626575469971,7767
2020-04-18,2020-04-20,0.8738059997558594,0.7748885154724121,0.06292724609375,5.577624559402466,7737
2020-04-20,2020-04-22,0.9477963447570801,0.48842573165893555,0.061354637145996094,6.392766952514648,7858
2020-04-22,2020-04-24,0.4622793197631836,0.2956573963165283,0.06225442886352539,6.072828769683838,7888
2020-04-24,2020-04-26,0.49917125701904297,0.2865264415740967,0.06296253204345703,7.13629412651062,7858
2020-04-26,2020-04-28,0.5742044448852539,0.5431828498840332,0.0660395622253418,7.825754642486572,7744
2020-04-28,2020-04-30,0.48990917205810547,0.5585780143737793,0.06508827209472656,7.951300382614136,7932
2020-04-30,2020-05-02,0.49057531356811523,0.7665789127349854,0.06459331512451172,7.8611533641815186,7841
2020-05-02,2020-05-04,0.49187803268432617,0.8303847312927246,0.06525182723999023,8.712226867675781,7837
2020-05-04,2020-05-06,0.9770855903625488,1.0076992511749268,0.062398433685302734,9.163300037384033,7920
2020-05-06,2020-05-08,0.49035072326660156,0.3480255603790283,0.1443629264831543,9.303549528121948,7975
2020-05-08,2020-05-10,0.48917579650878906,0.968463659286499,0.06697463989257812,9.576753377914429,7855
2020-05-10,2020-05-12,0.4633750915527344,0.6934263706207275,0.06270074844360352,10.146052360534668,7984
2020-05-12,2020-05-14,0.5056219100952148,0.7128746509552002,0.06836080551147461,10.942126750946045,8069
2020-05-14,2020-05-16,0.49513769149780273,0.7310020923614502,0.06636428833007812,11.238431453704834,7973
2020-05-16,2020-05-18,0.500450611114502,0.7534482479095459,0.06717681884765625,11.63548493385315,8013
2020-05-18,2020-05-20,0.49366331100463867,0.7675726413726807,0.06664466857910156,12.193467140197754,7972
2020-05-20,2020-05-22,0.5777506828308105,1.1625990867614746,0.0691218376159668,12.881115674972534,8124
2020-05-22,2020-05-24,0.4840993881225586,0.980597972869873,0.06307792663574219,13.078673124313354,8035
2020-05-24,2020-05-26,0.48476123809814453,0.4577624797821045,0.06731128692626953,13.401415348052979,8036
2020-05-26,2020-05-28,0.5217862129211426,0.8806841373443604,0.07209205627441406,14.302889108657837,8192
2020-05-28,2020-05-30,0.6776666641235352,1.3534293174743652,0.06897926330566406,14.320140838623047,8252
